Name,Type,Gender,URL
Tom Cruise,Actor,male,https://www.google.com/search?q=Tom+Cruise&biw=1978&bih=838&sxsrf=ALiCzsYX7QuhDGnibR6F-GEoQGg-dogKzA%3A1665307287665&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Chris Evans,Actor,male,https://www.google.com/search?q=Chris+Evans&biw=1517&bih=694&sxsrf=ALiCzsYvPfvzqlt2pvAClTd0e-Sz2vpG3Q%3A1665307243254&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Johnny Depp,Actor,male,https://www.google.com/search?q=johnny+depp&biw=851&bih=919&sxsrf=ALiCzsYhdDjhbIKn-UtXbXWA_U-h6YDFkg%3A1665307214372&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Kevin Hart,Actor,male,https://www.google.com/search?q=kevin+hart&biw=851&bih=919&sxsrf=ALiCzsayqDQIMLEjUXH0xgJYxSrBNZ2oRw%3A1665307191354&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Eric Chou,Singer,male,https://www.google.com/search?q=eric+chou&rlz=1C1GCEU_enSG915SG915&biw=1517&bih=694&sxsrf=ALiCzsYOtFHZJHiGE3tEduwRO9I0kyf4zw%3A1665307144082&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
A-Lin,Singer,female,https://www.google.com/search?q=A-Lin&rlz=1C1GCEU_enSG915SG915&biw=1517&bih=694&sxsrf=ALiCzsZWdk75JyXb9qfGJtmaDfhM_wnipw%3A1665307120921&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
David Gandy,Model,male,https://www.google.com/search?q=David+Gandy&rlz=1C1GCEU_enSG915SG915&tbas=0&biw=1517&bih=694&sxsrf=ALiCzsY0pm6GEXTATkjZkvSoWEstg70uNQ%3A1665307098595&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Bella Hadid,Model,female,https://www.google.com/search?q=bella+hadid&rlz=1C1GCEU_enSG915SG915&biw=1517&bih=694&sxsrf=ALiCzsZke8kx0K2H5LckJrRW2Pd1K6RMAQ%3A1665307067460&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Federer Roger,Sports,male,https://www.google.com/search?q=federer+roger&rlz=1C1GCEU_enSG915SG915&biw=1517&bih=694&sxsrf=ALiCzsbECKF0cqrv2dzcJnvpTnIKVpSsSw%3A1665307000082&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Brittney Griner,Sports,female,https://www.google.com/search?q=Brittney+Griner&rlz=1C1GCEU_enSG915SG915&hl=en&biw=1517&bih=694&sxsrf=ALiCzsb_W9vX99qzxc_HX4JuTC48d1U93w%3A1665306965621&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Angela Hartnett,Chef,female,https://www.google.com/search?q=angela+hartnett&rlz=1C1GCEU_enSG915SG915&biw=1517&bih=694&sxsrf=ALiCzsaDoDW08-0sqvTDM4oAFyNfU4iiLw%3A1665306802682&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Gordon Ramsay,Chef,male,https://www.google.com/search?q=gordon+ramsay&rlz=1C1GCEU_enSG915SG915&biw=1517&bih=694&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws&sxsrf=ALiCzsZtgZBoxO6IGugty-oBgtKz03nOzA%3A1665306819712&ei=w5BCY___KoCM3LUP5PGMmA0&ved=0ahUKEwi_7bir59L6AhUABrcAHeQ4A9MQ4dUDCA0&uact=5&oq=gordon+ramsay&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzIKCAAQsQMQgwEQQzIICAAQgAQQsQMyCwgAEIAEELEDEIMBMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDoECAAQQzoHCAAQsQMQQ1CZA1iMDGCNDWgCcAB4AIABP4gBsgWSAQIxNJgBAKABAcABAQ&sclient=gws-wiz-news
